,loss
0,0.39252227544784546
1,0.16552086174488068
2,0.1639379858970642
3,0.1470663845539093
4,0.14685434103012085
5,0.14710275828838348
6,0.1411396861076355
7,0.13904114067554474
8,0.1367630511522293
9,0.12973231077194214
10,0.13444958627223969
11,0.12807554006576538
12,0.13340067863464355
13,0.13859154284000397
14,0.12889954447746277
15,0.12795837223529816
16,0.12196803838014603
17,0.12651555240154266
18,0.1266302615404129
19,0.11902714520692825
