,loss,val_loss
0,0.13792484998703003,0.29381439089775085
1,0.12624458968639374,0.25727540254592896
2,0.13177423179149628,0.3398790657520294
3,0.12499852478504181,0.27757251262664795
4,0.13041535019874573,0.22280170023441315
5,0.12607425451278687,0.20265299081802368
6,0.12933163344860077,0.2497480809688568
7,0.12762904167175293,0.25177478790283203
8,0.12809434533119202,0.25560781359672546
9,0.12903901934623718,0.29710689187049866
10,0.12397946417331696,0.23463505506515503
11,0.13054443895816803,0.27897533774375916
12,0.12344859540462494,0.2687970697879791
13,0.12608680129051208,0.27820318937301636
14,0.12594307959079742,0.2334655076265335
15,0.12867866456508636,0.3065492808818817
16,0.1299355924129486,0.27052947878837585
17,0.1256181299686432,0.26810964941978455
18,0.12646253407001495,0.3113890290260315
19,0.1284230649471283,0.26423922181129456
20,0.12439309805631638,0.24430733919143677
21,0.12199874967336655,0.3209301829338074
22,0.12559427320957184,0.30247777700424194
23,0.12713061273097992,0.25441408157348633
24,0.12322518974542618,0.2900117337703705
25,0.12241647392511368,0.2001674324274063
26,0.12949500977993011,0.36585482954978943
27,0.11869029700756073,0.2655471861362457
28,0.1256096065044403,0.22295387089252472
29,0.12740184366703033,0.31209316849708557
30,0.13068750500679016,0.2972407937049866
31,0.12219233065843582,0.3389414846897125
32,0.12524913251399994,0.26742884516716003
33,0.1232212707400322,0.2909510135650635
34,0.1278596818447113,0.35115447640419006
35,0.12579913437366486,0.33052143454551697
36,0.12515108287334442,0.33248960971832275
37,0.1261976659297943,0.2506934106349945
38,0.12681366503238678,0.30625617504119873
39,0.13051335513591766,0.27943161129951477
40,0.12366830557584763,0.33128637075424194
41,0.12584330141544342,0.3056369721889496
42,0.12415062636137009,0.27895522117614746
43,0.12306039035320282,0.22396767139434814
44,0.12232130765914917,0.2739661931991577
45,0.12273196130990982,0.3038727343082428
46,0.12436868250370026,0.32933658361434937
47,0.11933261156082153,0.313833624124527
48,0.12872225046157837,0.36149585247039795
49,0.12824393808841705,0.2769711911678314
